timestamp,temperature,vibration,current,pressure,runtime_hours,failure
2024-01-01 00:00:00,66.01,1.921,11.32,62.93,0.17,0
2024-01-01 00:10:00,64.28,1.979,11.49,63.12,0.33,0
2024-01-01 00:20:00,68.14,1.372,10.75,65.51,0.5,0
2024-01-01 00:30:00,73.64,2.018,12.52,67.57,0.67,0
2024-01-01 00:40:00,61.87,2.371,13.72,61.5,0.83,0
2024-01-01 00:50:00,64.2,1.503,11.39,61.84,1.0,0
2024-01-01 01:00:00,74.77,2.314,13.89,68.18,1.17,0
2024-01-01 01:10:00,67.33,2.146,10.47,64.62,1.33,0
2024-01-01 01:20:00,62.96,1.673,10.95,58.63,1.5,0
2024-01-01 01:30:00,66.21,1.976,13.55,64.62,1.67,0
2024-01-01 01:40:00,64.35,2.696,12.89,62.73,1.83,0
2024-01-01 01:50:00,65.23,2.489,13.21,76.47,2.0,0
2024-01-01 02:00:00,64.45,1.8,9.87,72.57,2.17,0
2024-01-01 02:10:00,55.9,1.905,11.64,70.73,2.33,0
2024-01-01 02:20:00,56.94,2.227,12.97,68.8,2.5,0
2024-01-01 02:30:00,62.42,1.663,12.15,64.92,2.67,0
2024-01-01 02:40:00,59.63,1.094,10.98,61.17,2.83,0
2024-01-01 02:50:00,65.75,2.87,12.09,64.57,3.0,0
2024-01-01 03:00:00,58.15,2.156,10.97,60.04,3.17,0
2024-01-01 03:10:00,57.74,2.028,14.74,64.34,3.33,0
2024-01-01 03:20:00,73.67,2.139,13.59,69.41,3.5,0
2024-01-01 03:30:00,65.57,1.771,12.42,65.1,3.67,0
2024-01-01 03:40:00,65.66,1.794,14.32,72.01,3.83,0
2024-01-01 03:50:00,56.44,1.484,12.09,58.05,4.0,0
2024-01-01 04:00:00,60.41,3.022,13.22,65.1,4.17,0
2024-01-01 04:10:00,64.68,1.515,14.19,62.11,4.33,0
2024-01-01 04:20:00,56.44,1.551,12.76,63.11,4.5,0
2024-01-01 04:30:00,63.15,1.717,12.35,68.19,4.67,0
2024-01-01 04:40:00,60.04,2.485,9.79,65.46,4.83,0
2024-01-01 04:50:00,64.07,2.119,11.19,67.27,5.0,0
2024-01-01 05:00:00,59.6,1.345,13.24,61.37,5.17,0
2024-01-01 05:10:00,74.82,2.43,13.86,58.87,5.33,0
2024-01-01 05:20:00,63.76,2.333,12.65,67.97,5.5,0
2024-01-01 05:30:00,61.59,2.298,11.63,74.68,5.67,0
2024-01-01 05:40:00,68.29,2.366,8.95,61.17,5.83,0
2024-01-01 05:50:00,58.28,2.892,10.9,69.47,6.0,0
2024-01-01 06:00:00,65.0,2.877,11.78,62.47,6.17,0
2024-01-01 06:10:00,54.19,1.693,11.69,62.39,6.33,0
